Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
Valnøddeolie,3700,0,100,0,0,0,0,0,884,
"Vand, drikke-, vejl. værdier",0,0,0,0,0,0,0,100,0,
"Vandmelon, rå",159,"0,8","0,1","8,6",0,"0,5",0,"90,2",38,
Vanilleis,778,4,10,20,16,0,0,"64,9",186,
Vekao,2341,"4,3","33,9","59,9",50,"0,5",0,"0,6",560,
"Vermouth, sød",606,0,0,"14,5",10,0,"12,4","71,9",145,
"Vermouth, tør",490,"0,1",0,"5,2",0,0,"13,8","79,6",117,
"Vinbjergssnegle, rå",343,16,1,2,0,0,0,79,82,
"Vindrue, rå",261,"0,5","0,4","14,7",0,"1,4",0,84,62,
Vindruekerneolie,3700,0,100,0,0,0,0,0,884,
Vingummi,1482,"6,6","0,9","78,6","40,6",0,0,"13,7",354,
Vodka,969,0,0,0,0,0,"33,4","66,6",232,
"Voksbønner, konserves",110,"1,4","0,3","5,2",0,"1,5",0,"92,2",26,
"Voksbønner, rå",150,"2,1","0,2","7,1",0,"1,5",0,90,36,
Whisky,1046,0,0,"0,1",0,0,36,"63,9",250,
"Wienerbrød, julekage",1896,"5,2",31,"40,6",,"3,3",0,"21,1",453,
"Wienerbrød, kringle/stang",1899,"4,3","28,1",48,,"3,3",0,"19,3",454,
"Wienerbrød, smørkrans",1944,"4,3",31,"44,3",,"3,3",0,"19,2",465,
"Wienerbrød, spandauer",1736,"4,7","29,4","35,2",3,"3,3",0,"27,6",415,
"Wienerbrød, uspec.",1793,"4,5","26,6","44,8",3,"3,3",0,"20,9",429,
Wienerpølse,1144,"13,4","23,2","3,5",0,"0,2",0,"57,1",273,
"Wienerpølse (bayersk pølse), kogt",1049,"12,7","21,2",3,0,"0,2",0,"59,6",251,
"Wienerpølse, konserves",835,"10,6",17,"1,6",0,"0,2",0,69,200,
"Wienerpølse, ristet",1236,"14,4","23,2","7,9",0,"0,2",0,"51,1",295,
"Yams, rå",470,"1,5","0,2","27,9",0,"4,1",0,"69,6",112,
"Yderlår, skinkeculotte, ca. 2 mm spæk, rå",708,"19,2","10,3",0,,0,0,"69,6",169,
"Yderlår, skinkesteg (med svær), rå",769,"19,1",12,0,,0,0,"68,5",184,
Ylette naturel,248,"6,3","1,8","4,4",0,0,0,"86,5",59,
Ymer naturel,301,"6,1","3,5",4,0,0,0,"85,4",72,
Yoghurt med appelsinsaft,376,"3,4","3,3","11,8","5,9","0,5",0,"80,1",90,
"Yoghurt med frugt, uspec.",372,"3,3","3,2","11,9","4,5","0,5",0,"80,6",89,
Yoghurt med jordbær,374,"3,3","3,1","12,2","6,4","0,5",0,"81,3",89,
Yoghurt med müsli,378,"3,5","3,3","11,8","3,8","0,5",0,"80,7",90,
Yoghurt med peach melba,381,"3,3","3,2","12,4","6,1","0,5",0,"80,6",91,
Yoghurt med pære og banan,372,"3,3","3,2","11,9","4,5","0,5",0,"80,3",89,
Yoghurt naturel,262,"3,8","3,6","3,8",0,0,0,"87,9",63,
"Æble, dansk, råt",192,"0,3","0,3","11,5",0,"2,2",0,"87,6",46,
"Æble, importeret, råt",246,"0,3","0,7",14,0,"2,5",0,"84,9",59,
"Æble, tørret",1068,"0,9","0,3","65,9",0,"8,7",0,"31,8",255,
"Æble, uspec., råt",216,"0,3","0,3","12,9",0,"2,2",0,"85,7",52,
Æblegele,1030,"0,5","0,5",59,56,0,0,"39,8",246,
"Æblemost, uspec.",179,"0,1","0,1","10,2",0,0,0,"87,9",43,
"Æg, and, rå",754,"12,8","13,8","1,5",0,0,0,"70,8",180,
"Æg, blomme, rå",1312,"15,9","26,5","3,6",0,0,0,"52,3",314,
"Æg, blomme, saltet, pasteuriseret, dybfrost",1116,14,23,"1,6",0,0,0,"50,8",267,
"Æg, blomme, tilsat sukker, pasteuriseret, dybfrost",1303,"14,2","23,4","11,5","9,7",0,0,"49,5",311,
"Æg, blomme, tørret",2709,"34,3","55,8","3,6",0,0,0,3,647,
"Æg, gås, rå",752,"13,9","13,3","1,4",0,0,0,"70,4",180,
"Æg, hele, pasteuriseret, dybfrost",603,"12,5",10,"1,2",0,0,0,"75,3",144,
"Æg, hele, rå",594,"12,6","9,9","0,8",,0,0,"75,8",142,
"Æg, hele, tørret",2408,"47,4",41,5,0,0,0,"3,1",576,
"Æg, hvide, pasteuriseret, dybfrost",196,"10,5",0,1,0,0,0,"87,8",47,
"Æg, hvide, rå",205,"10,9","0,2","0,7",0,0,0,"87,6",49,
"Æg, hvide, tørret",1511,"81,1",0,"7,8",0,0,0,"5,8",361,
"Æg, langæg, kogt, dybfrost (DANÆG)",579,12,10,"0,3",0,0,0,"76,8",138,
"Øl, let pilsner, ubeskattet, uspec.",110,"0,2",0,"2,7",0,0,"2,1","94,9",26,
"Øl, mørkt hvidtøl, ubeskattet, uspec.",189,"0,3",0,"8,6",0,0,"1,3","89,7",45,
"Øl, pilsner, skatteklasse 1, uspec.",158,"0,3",0,"2,7",0,0,"3,7","93,5",38,
"Øl, skatteklasse 2, uspec.",195,"0,4",0,"3,2",0,0,"4,6","91,3",47,
"Øl, skatteklasse 3, uspec.",259,"0,4",0,"4,6",0,0,6,"88,8",62,
"Øl, ubeskattet, uspec.",148,"0,3",0,"5,7",0,0,"1,6","92,3",35,
"Ørred, dam-, sø-, rå",613,"19,1","7,8",0,0,0,0,"72,3",147,
"Ørred, hav-, rå",462,20,"3,3",0,0,0,0,"75,2",110,
"Ørred, regnbue-, rå",561,"18,4","6,7",0,0,0,0,"74,3",134,
"Østers, rå",260,"7,8","1,5","4,2",0,0,0,"84,8",62,
"Ål, røget",1358,"19,4","27,8",0,0,0,0,"50,2",325,
"Ål, rå",1331,18,"27,7",0,0,0,0,"53,3",318,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
,,,,,,,,,0,
