Varebetegnelse,KJ pr.,Protein,Fedt,Kulhydrat,Tilsat sukker,Kostfibre,Alkohol,Vand,Kcal pr.,
"Emmentaler, 45+",1571,"28,1","29,1",1,0,0,0,"38,6",375,
"Esrom, 45+",1378,"24,2","25,7","0,9",0,0,0,"45,9",329,
"Esrom, 60+",1764,"19,4","38,3",1,0,0,0,"38,4",422,
"Fasan, kød og skind, rå",730,"22,7","9,3",0,0,0,0,"67,8",174,
"Fasan, kød, rå",534,"23,6","3,6",0,0,0,0,"72,8",128,
"Fennikel, frø",1351,"15,8","14,9","52,3",0,"39,8",0,"8,8",323,
"Fennikel, knold, rå",98,"1,4","0,2",5,0,2,0,"93,8",23,
"Fersken, konserves",313,"0,5","0,2","18,1","7,6","1,2",0,"81,8",75,
"Fersken, rå",198,1,"0,4","10,7",0,"1,7",0,"88,4",47,
"Fersken, tørret",1406,"4,9",1,"83,2",0,"14,3",0,"7,5",336,
"Feta, 40+",1066,"19,4","19,2","1,5",0,0,0,"54,9",255,
"Feta, 50+",1260,"17,8","25,2","1,5",0,0,0,"50,8",301,
Fiberbrød,1027,"9,8","1,9","49,3",0,"5,3",0,"43,1",245,
"Figen, rå",325,"0,8","0,3","19,2",0,"2,9",0,"79,1",78,
"Figen, tørret",1092,"3,3","0,9","63,9",0,"9,3",0,"30,1",261,
"Figuraost, 10+",657,24,"6,5","0,5",0,0,0,35,157,
"Fiskeboller, konserves",263,"8,3",1,5,0,0,0,84,63,
"Fiskefars, rå",466,"8,5","2,8","12,8",0,0,0,"74,4",111,
Fiskefrikadelle,647,"9,7","8,3","10,3",0,0,0,"71,3",155,
"Fiskeolie, hydrogeneret",3696,0,"99,9",0,0,0,0,"0,1",883,
Fladbrød,1526,"9,1","2,3",84,0,"15,8",0,3,365,
"Flûte, fint, industrifremstillet",1076,"8,3","1,2",54,0,3,0,34,257,
"Flûte, groft, industrifremstillet",1129,"7,9","3,6",53,0,"4,4",0,34,270,
"Flûte, med fedtrige frø, industrifremstillet",1148,"8,7","3,3",54,0,"4,5",0,32,274,
"Flæskesvær, snacks",2477,58,"40,3",0,,0,0,"1,7",592,
Fløde 13 %,625,"2,9","13,5","4,5",0,0,0,"78,5",149,
Fløde 13 % (UHT),608,"2,8","13,3",4,0,0,0,"79,3",145,
Fløde 18 %,785,"2,7",18,"4,3",0,0,0,"74,4",188,
"Fløde 38 %, piskefløde",1496,"2,1",38,"3,2",0,0,0,"57,1",358,
Fløde 9 %,462,"3,1","9,1","4,3",0,0,0,83,110,
"Fløde 9 %, syrnet",459,"3,1",9,"4,3",0,0,0,83,110,
"Flødeboller, skumboller",1791,"4,4","16,5","65,3",64,"0,5",0,"13,1",428,
Flødechokolade,2271,"7,1","31,3","58,6","49,5","0,4",0,"1,3",543,
Flødechokolade med nødder,2397,"8,8","37,5","50,6",40,0,0,"1,3",573,
Flødeis,868,"3,5",11,"23,6",18,0,0,61,207,
"Flødeost, 60+",1381,"10,2","31,5","2,5",0,0,0,"54,4",330,
"Flødeost, 70+",1571,"9,6","36,9","2,5",0,0,0,"49,4",375,
"Flødeskumskage, uspec.",1158,"2,7","13,7","36,4",,"1,5",0,"46,3",277,
"Flødeyoghurt med frugt, 9 % fedt",404,3,"7,7","4,3","7,6","0,5",0,"76,5",97,
"Fontina, 45+",1399,"24,8",26,"0,9",0,0,0,"44,9",334,
"Fontina, 50+",1556,"23,8","30,7","0,9",0,0,0,"41,6",372,
"Forårsløg, rå",139,"1,8","0,2","7,3",0,"2,6",0,"89,8",33,
Franskbrød,1131,8,"4,3","51,3",0,4,0,"33,9",270,
Frugtkvark,693,"6,9","8,2",16,"13,3",0,0,"68,7",166,
"Frugtpålæg, figen",1335,"2,5","4,5","70,2",0,"7,5",0,"21,2",319,
"Frugtpålæg, uspec.",1311,"2,7","5,6","66,4",0,"7,9",0,"23,7",313,
"Frugtsaft, blandet, sødet, koncentreret",717,"0,2",0,42,"41,4",0,0,"56,2",171,
"Frugtsaft, blandet, usødet, koncentreret",145,"0,2",0,"8,3",0,0,0,"91,1",35,
Fruktose,1697,0,0,"99,8",95,0,0,"0,2",406,
"Frølår, dybfrost",290,"16,4","0,3",0,0,0,0,82,69,
"Fynbo, 45+",1480,"25,9","27,7","0,9",0,0,0,"42,1",354,
"Fårekød, bov, rå",947,"18,7",17,0,0,0,0,"62,7",226,
"Fårekød, kølle, rå",564,"20,1",6,0,0,0,0,"71,9",135,
Gaffelbidder,937,"12,3",16,8,8,0,0,"62,4",224,
"Gedde, rå",367,19,"1,2",0,0,0,0,"77,9",88,
Gedemælk,289,"3,6","4,1","4,5",0,0,0,87,69,
Gelatine,1481,"86,9","0,1",0,0,0,0,"11,7",354,
Gin,1099,0,0,0,0,0,"37,9","62,1",263,
Grahamsbrød,1004,"8,2",2,"49,3",0,"5,3",0,"36,9",240,
"Grahamsmel, fuldkornshvedemel",1426,"10,7","2,4","74,1",0,"11,6",0,"11,7",341,
"Grana, 32+",1480,"33,6","24,1",1,0,0,0,"36,7",354,
"Granatæble, punisk æble, råt",315,1,"0,3","17,2",0,"0,6",0,81,75,
"Grapefrugt, rå",180,"0,9","0,3","9,8",0,"1,4",0,"88,7",43,
"Grapefrugtjuice, konserves, usødet",143,"0,3","0,1","7,9",0,0,0,"91,3",34,
Grovbolle,1199,"9,3","3,8","55,9",0,"5,6",0,28,287,
Grovfranskbrød,1092,"8,3","3,3",51,0,"4,2",0,"35,4",261,
"Gruyere, 45+",1646,"29,9","30,1","1,4",0,0,0,"35,4",393,
"Græskar, konserves",438,"0,4","0,1","25,6",0,"0,9",0,"73,7",105,
"Græskar, rå",75,"0,6","0,1","4,2",0,"1,1",0,"94,6",18,
"Grønkål, dybfrost",116,"2,1","0,6","5,2",0,"3,4",0,91,28,
"Grønkål, konserves",135,"2,2","0,9","5,6",0,"3,4",0,"90,4",32,
"Grønkål, rå",245,"4,7","1,2","10,4",0,"6,2",0,"81,6",59,
"Grønne bønner, dybfrost",140,2,"0,3","7,3",0,"3,2",0,"88,8",33,
"Grønne bønner, konserves",97,"1,5","0,3","4,8",0,"2,4",0,"91,8",23,
"Grønne bønner, rå",110,"1,9","0,2","5,7",0,3,0,"90,4",26,
"Grønne ærter, dybfrost",318,"6,1","0,7","13,6",0,"4,7",0,"79,5",76,
"Grønne ærter, konserves",314,"5,9","0,8","14,3",0,"6,6",0,"77,9",75,
"Grønne ærter, rå",292,"5,9","0,7","12,9",0,"5,9",0,"79,6",70,
"Grøntsagsjuice, pasteuriseret",220,"2,1","0,4","10,9",0,"1,7",0,"85,2",53,
"Guavabær, guajavabær, rå",177,"0,9","0,5",11,0,"4,9",0,"86,1",42,
"Gule ærter (flækærter), rå",1471,22,"2,1","63,9",0,"7,4",0,"9,5",352,
"Gulerod, dansk, rå",162,"0,8","0,4","9,3",0,"2,7",0,"89,1",39,
"Gulerod, dybfrost",109,"0,9","0,2","6,3",0,"2,3",0,92,26,
"Gulerod, importeret, rå",163,1,"0,4","9,3",0,3,0,"88,5",39,
"Gulerod, juice, konserves",175,1,"0,2","9,3",0,"0,8",0,"88,9",42,
"Gulerod, konserves",98,"0,6","0,2","5,5",0,"1,5",0,93,23,
"Gulerod, uspec., rå",150,"0,7","0,4","8,8",0,"2,9",0,"89,9",36,
"Gær, tørret",1327,"35,6","1,5","49,6",0,"19,7",0,5,317,
"Gærekstrakt, marmite",646,"27,8",0,"11,8",0,3,0,37,154,
"Gås, kød og skind, rå",1514,"15,9","33,6",0,0,0,0,"49,7",362,
"Gås, kød, rå",650,"22,8","7,1",0,0,0,0,"68,3",155,
Gåsefedt,3693,0,"99,8",0,0,0,0,"0,2",883,
"Hamburgerryg, kogt",508,"18,4","4,9","0,8","1,1",0,0,"71,5",121,
"Hamburgerryg, røget",508,"18,4","4,9","0,8","1,1",0,0,"71,5",121,
